entity_type,industry,organization,seniority
Individual,Entertainment,OrgD,9
Company,Entertainment,OrgC,5
Company,Tech,OrgB,1
Government,Tech,OrgC,4
Company,Healthcare,OrgB,5
Company,Tech,OrgC,2
Non-Profit,Healthcare,OrgB,9
Government,Finance,OrgD,9
Company,Finance,OrgB,9
Government,Finance,OrgA,7
Non-Profit,Healthcare,OrgC,8
Individual,Entertainment,OrgA,5
Company,Tech,OrgC,6
Individual,Healthcare,OrgD,5
Non-Profit,Finance,OrgB,1
Company,Healthcare,OrgC,9
Individual,Healthcare,OrgB,3
Company,Tech,OrgD,2
Non-Profit,Entertainment,OrgA,2
Non-Profit,Finance,OrgA,4
Company,Tech,OrgA,6
Non-Profit,Entertainment,OrgC,2
Company,Entertainment,OrgA,10
Individual,Finance,OrgD,10
Government,Finance,OrgC,9
Non-Profit,Tech,OrgB,3
Government,Entertainment,OrgB,2
Company,Healthcare,OrgA,1
Non-Profit,Entertainment,OrgA,7
Government,Entertainment,OrgB,6
Company,Healthcare,OrgB,7
Government,Tech,OrgC,2
Company,Entertainment,OrgB,8
Company,Finance,OrgC,6
Non-Profit,Healthcare,OrgD,6
Non-Profit,Healthcare,OrgA,4
Non-Profit,Finance,OrgC,2
Individual,Entertainment,OrgD,7
Individual,Finance,OrgB,6
Company,Entertainment,OrgA,6
Non-Profit,Tech,OrgC,7
Company,Entertainment,OrgC,10
Company,Healthcare,OrgD,8
Government,Healthcare,OrgC,2
Government,Tech,OrgC,8
Non-Profit,Entertainment,OrgA,8
Company,Entertainment,OrgD,2
Individual,Entertainment,OrgC,4
Company,Finance,OrgD,5
Company,Tech,OrgA,2
Government,Entertainment,OrgC,6
Government,Finance,OrgA,6
Government,Finance,OrgC,1
Individual,Entertainment,OrgC,4
Company,Finance,OrgA,10
Individual,Finance,OrgC,10
Non-Profit,Entertainment,OrgA,2
Individual,Tech,OrgB,10
Company,Finance,OrgC,10
Individual,Entertainment,OrgA,6
Individual,Healthcare,OrgD,5
Government,Entertainment,OrgD,8
Non-Profit,Healthcare,OrgA,9
Individual,Entertainment,OrgB,9
Non-Profit,Tech,OrgD,8
Government,Entertainment,OrgC,9
Individual,Tech,OrgB,5
Company,Finance,OrgA,10
Non-Profit,Entertainment,OrgA,6
Individual,Tech,OrgB,9
Government,Tech,OrgB,3
Government,Finance,OrgD,7
Company,Finance,OrgA,6
Company,Entertainment,OrgD,2
Government,Entertainment,OrgD,2
Company,Tech,OrgD,9
Individual,Healthcare,OrgA,7
Non-Profit,Entertainment,OrgB,9
Government,Healthcare,OrgD,7
Individual,Healthcare,OrgB,1
Individual,Tech,OrgC,9
Government,Healthcare,OrgD,2
Company,Healthcare,OrgD,7
Government,Entertainment,OrgA,7
Company,Finance,OrgD,3
Government,Healthcare,OrgD,7
Government,Entertainment,OrgA,6
Non-Profit,Healthcare,OrgA,4
Company,Finance,OrgB,10
Non-Profit,Finance,OrgD,1
Government,Healthcare,OrgC,1
Government,Entertainment,OrgB,10
Government,Finance,OrgD,1
Individual,Healthcare,OrgC,7
Government,Healthcare,OrgA,9
Company,Tech,OrgD,9
Individual,Healthcare,OrgB,4
Individual,Healthcare,OrgD,9
Company,Entertainment,OrgA,6
Government,Healthcare,OrgC,4
